"item","item_code","value","unit","year","element","area"
"Bananas","01312",4372.4,"kg/ha",2022,"Yield","Cambodia"
"Beans, dry","01701",1167.1,"kg/ha",2022,"Yield","Cambodia"
"Cassava, fresh","01520.01",23447.2,"kg/ha",2022,"Yield","Cambodia"
"Castor oil seeds","01447",881.8,"kg/ha",2022,"Yield","Cambodia"
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","01652",935.2,"kg/ha",2022,"Yield","Cambodia"
"Coconuts, in shell","01460",5778,"kg/ha",2022,"Yield","Cambodia"
"Coffee, green","01610",791.2,"kg/ha",2022,"Yield","Cambodia"
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","01599.10",11814.4,"kg/ha",2022,"Yield","Cambodia"
"Groundnuts, excluding shelled","0142",1200,"kg/ha",2022,"Yield","Cambodia"
"Jute, raw or retted","01922.01",885,"kg/ha",2022,"Yield","Cambodia"
"Lemons and limes","01322",9946.3,"kg/ha",2022,"Yield","Cambodia"
"Maize (corn)","0112",5920.6,"kg/ha",2022,"Yield","Cambodia"
"Mangoes, guavas and mangosteens","01316",13502.5,"kg/ha",2022,"Yield","Cambodia"
"Natural rubber in primary forms","01950.01",1192.8,"kg/ha",2022,"Yield","Cambodia"
"Oil palm fruit","01491.01",10603.3,"kg/ha",2022,"Yield","Cambodia"
"Oranges","01323",5532.9,"kg/ha",2022,"Yield","Cambodia"
"Other fibre crops, raw, n.e.c.","01929.90",5003.8,"kg/ha",2022,"Yield","Cambodia"
"Other fruits, n.e.c.","01359.90",6091.8,"kg/ha",2022,"Yield","Cambodia"
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","01379.90",1702.2,"kg/ha",2022,"Yield","Cambodia"
"Other oil seeds, n.e.c.","01449.90",2469.2,"kg/ha",2022,"Yield","Cambodia"
"Other vegetables, fresh n.e.c.","01290.90",6379.3,"kg/ha",2022,"Yield","Cambodia"
"Pepper (Piper spp.), raw","01651",6639.5,"kg/ha",2022,"Yield","Cambodia"
"Pineapples","01318",10476.9,"kg/ha",2022,"Yield","Cambodia"
"Pomelos and grapefruits","01321",10422.9,"kg/ha",2022,"Yield","Cambodia"
"Rice","0113",3519.2,"kg/ha",2022,"Yield","Cambodia"
"Seed cotton, unginned","01921.01",1294.8,"kg/ha",2022,"Yield","Cambodia"
"Sesame seed","01444",769.2,"kg/ha",2022,"Yield","Cambodia"
"Soya beans","0141",1454.5,"kg/ha",2022,"Yield","Cambodia"
"Sugar cane","01802",37362.9,"kg/ha",2022,"Yield","Cambodia"
"Sweet potatoes","01530",8138.2,"kg/ha",2022,"Yield","Cambodia"
"Unmanufactured tobacco","01970",1772.2,"kg/ha",2022,"Yield","Cambodia"
"Abaca, manila hemp, raw","01929.07",800.2,"kg/ha",2022,"Yield","Indonesia"
"Areca nuts","01379.01",541.9,"kg/ha",2022,"Yield","Indonesia"
"Avocados","01311",13414.9,"kg/ha",2022,"Yield","Indonesia"
"Bananas","01312",60100.7,"kg/ha",2022,"Yield","Indonesia"
"Beans, dry","01701",1109.1,"kg/ha",2022,"Yield","Indonesia"
"Cabbages","01212",21827,"kg/ha",2022,"Yield","Indonesia"
"Cantaloupes and other melons","01229",16720,"kg/ha",2022,"Yield","Indonesia"
"Carrots and turnips","01251",18874.8,"kg/ha",2022,"Yield","Indonesia"
"Cashew nuts, in shell","01372",323.7,"kg/ha",2022,"Yield","Indonesia"
"Cassava, fresh","01520.01",26894.7,"kg/ha",2022,"Yield","Indonesia"
"Castor oil seeds","01447",402.1,"kg/ha",2022,"Yield","Indonesia"
"Cauliflowers and broccoli","01213",12723.5,"kg/ha",2022,"Yield","Indonesia"
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","01231",9028,"kg/ha",2022,"Yield","Indonesia"
"Cinnamon and cinnamon-tree flowers, raw","01655",619.7,"kg/ha",2022,"Yield","Indonesia"
"Cloves (whole stems), raw","01656",238.7,"kg/ha",2022,"Yield","Indonesia"
"Cocoa beans","01640",457.9,"kg/ha",2022,"Yield","Indonesia"
"Coconuts, in shell","01460",6476.7,"kg/ha",2022,"Yield","Indonesia"
